patent_id,title,abstract,filing_date,year
10000554,Apparatus for lidar point-cloud filtering,"This invention discloses apparatus for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-03-17,2019
10000555,System and method for speech-to-text noise robustness,"This invention discloses system and method for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-11-28,2022
10000556,Apparatus for wireless power transfer,"This invention discloses apparatus for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-07-12,2024
10000557,Apparatus for battery thermal management,"This invention discloses apparatus for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-12,2022
10000558,Composition for satellite collision avoidance,"This invention discloses composition for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-26,2023
10000559,System and method for robotic grasp planning,"This invention discloses system and method for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-07,2024
10000560,Device for wireless power transfer,"This invention discloses device for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-05-20,2024
10000561,Device for quantum error correction,"This invention discloses device for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-07-30,2018
10000562,Composition for 5G beamforming optimization,"This invention discloses composition for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-10-06,2018
10000563,Process for quantum error correction,"This invention discloses process for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-10-22,2023
10000564,Process for speech-to-text noise robustness,"This invention discloses process for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-12-13,2020
10000565,Apparatus for lidar point-cloud filtering,"This invention discloses apparatus for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-09-01,2018
10000566,Composition for neural network compression,"This invention discloses composition for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-23,2020
10000567,Method for 5G beamforming optimization,"This invention discloses method for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-10-17,2018
10000568,System and method for neural network compression,"This invention discloses system and method for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-03-03,2019
10000569,Apparatus for battery thermal management,"This invention discloses apparatus for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-08-15,2018
10000570,Composition for battery thermal management,"This invention discloses composition for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-03-13,2024
10000571,Apparatus for solid-state battery electrolyte,"This invention discloses apparatus for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-10-15,2022
10000572,System and method for 5G beamforming optimization,"This invention discloses system and method for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-03-04,2020
10000573,Apparatus for solid-state battery electrolyte,"This invention discloses apparatus for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-01-06,2024
10000574,Composition for quantum error correction,"This invention discloses composition for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-08-21,2018
10000575,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-12-03,2021
10000576,Composition for autonomous vehicle perception,"This invention discloses composition for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-11-11,2018
10000577,System and method for quantum error correction,"This invention discloses system and method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-22,2022
10000578,Apparatus for satellite collision avoidance,"This invention discloses apparatus for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-12-31,2020
10000579,Composition for robotic grasp planning,"This invention discloses composition for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-15,2023
10000580,System and method for wearable biosensor,"This invention discloses system and method for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-05-13,2020
10000581,Composition for image super-resolution,"This invention discloses composition for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-02-02,2023
10000582,Process for gene editing with CRISPR variants,"This invention discloses process for gene editing with crispr variants. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-05-15,2021
10000583,Device for speech-to-text noise robustness,"This invention discloses device for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-19,2018
10000584,Composition for solid-state battery electrolyte,"This invention discloses composition for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-12-22,2023
10000585,Process for lidar point-cloud filtering,"This invention discloses process for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-12-11,2020
10000586,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-08-22,2018
10000587,Composition for edge computing resource scheduling,"This invention discloses composition for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-12-31,2023
10000588,Device for image super-resolution,"This invention discloses device for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-09-02,2020
10000589,Method for quantum error correction,"This invention discloses method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-02-02,2024
10000590,System and method for OLED display fabrication,"This invention discloses system and method for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-10-26,2024
10000591,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-23,2022
10000592,Method for 5G beamforming optimization,"This invention discloses method for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-05-21,2023
10000593,System and method for robotic grasp planning,"This invention discloses system and method for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-03-08,2024
10000594,System and method for OLED display fabrication,"This invention discloses system and method for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-21,2023
10000595,Composition for neural network compression,"This invention discloses composition for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-11,2020
10000596,Process for lidar point-cloud filtering,"This invention discloses process for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-06-21,2018
10000597,System and method for battery thermal management,"This invention discloses system and method for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-12-18,2021
10000598,Method for satellite collision avoidance,"This invention discloses method for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-23,2022
10000599,System and method for solid-state battery electrolyte,"This invention discloses system and method for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-10-20,2018
10000600,System and method for solid-state battery electrolyte,"This invention discloses system and method for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-03-15,2022
10000601,Apparatus for secure multi-party computation,"This invention discloses apparatus for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-04-15,2018
10000602,Composition for satellite collision avoidance,"This invention discloses composition for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-07-09,2024
10000603,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-04-10,2022
10000604,Apparatus for secure multi-party computation,"This invention discloses apparatus for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-08-25,2023
10000605,Device for satellite collision avoidance,"This invention discloses device for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-11-02,2023
10000606,System and method for quantum error correction,"This invention discloses system and method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-22,2022
10000607,Composition for solid-state battery electrolyte,"This invention discloses composition for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-01-22,2022
10000608,Process for quantum error correction,"This invention discloses process for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-01-13,2023
10000609,Device for secure multi-party computation,"This invention discloses device for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-07-20,2019
10000610,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-08-31,2023
10000611,Apparatus for autonomous vehicle perception,"This invention discloses apparatus for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-09-11,2022
10000612,Device for battery thermal management,"This invention discloses device for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-11-15,2019
10000613,Device for 5G beamforming optimization,"This invention discloses device for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-06-07,2019
10000614,Process for robotic grasp planning,"This invention discloses process for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-11-30,2024
10000615,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-01-17,2023
10000616,Composition for secure multi-party computation,"This invention discloses composition for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-09-18,2023
10000617,Composition for image super-resolution,"This invention discloses composition for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-04-03,2022
10000618,Method for quantum error correction,"This invention discloses method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-05-02,2021
10000619,Device for edge computing resource scheduling,"This invention discloses device for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-08-15,2021
10000620,Composition for carbon capture using metal-organic frameworks,"This invention discloses composition for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-10-30,2022
10000621,System and method for low-latency video coding,"This invention discloses system and method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-05-01,2019
10000622,Process for autonomous vehicle perception,"This invention discloses process for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-06,2020
10000623,Apparatus for battery thermal management,"This invention discloses apparatus for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-09-17,2024
10000624,Method for speech-to-text noise robustness,"This invention discloses method for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-04-16,2018
10000625,Device for satellite collision avoidance,"This invention discloses device for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-06-01,2019
10000626,Device for solid-state battery electrolyte,"This invention discloses device for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-14,2023
10000627,Composition for autonomous vehicle perception,"This invention discloses composition for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-12-19,2021
10000628,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-10-04,2019
10000629,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-06-07,2018
10000630,System and method for carbon capture using metal-organic frameworks,"This invention discloses system and method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-05,2024
10000631,Apparatus for drug delivery via nanoparticles,"This invention discloses apparatus for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-07-29,2024
10000632,Device for low-latency video coding,"This invention discloses device for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-07-28,2023
10000633,Composition for carbon capture using metal-organic frameworks,"This invention discloses composition for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-01-14,2018
10000634,Composition for low-latency video coding,"This invention discloses composition for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-06-08,2018
10000635,System and method for speech-to-text noise robustness,"This invention discloses system and method for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-12-13,2023
10000636,Device for speech-to-text noise robustness,"This invention discloses device for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-05-26,2022
10000637,System and method for solid-state battery electrolyte,"This invention discloses system and method for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-01-06,2023
10000638,System and method for autonomous vehicle perception,"This invention discloses system and method for autonomous vehicle perception. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-11-24,2021
10000639,Process for solid-state battery electrolyte,"This invention discloses process for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-08-19,2020
10000640,Process for lidar point-cloud filtering,"This invention discloses process for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-12-07,2020
10000641,System and method for neural network compression,"This invention discloses system and method for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-01-04,2021
10000642,Device for quantum error correction,"This invention discloses device for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-06-02,2024
10000643,Process for robotic grasp planning,"This invention discloses process for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-09-12,2021
10000644,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-12-15,2021
10000645,Apparatus for 5G beamforming optimization,"This invention discloses apparatus for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-01-03,2024
10000646,Apparatus for edge computing resource scheduling,"This invention discloses apparatus for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-10-24,2019
10000647,Method for neural network compression,"This invention discloses method for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-24,2018
10000648,Method for low-latency video coding,"This invention discloses method for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-03-05,2021
10000649,Apparatus for neural network compression,"This invention discloses apparatus for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-01-20,2021
10000650,Device for drug delivery via nanoparticles,"This invention discloses device for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-01-10,2021
10000651,Composition for solid-state battery electrolyte,"This invention discloses composition for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-24,2018
10000652,Apparatus for robotic grasp planning,"This invention discloses apparatus for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-07-02,2021
10000653,System and method for image super-resolution,"This invention discloses system and method for image super-resolution. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-04-10,2020
10000654,Device for wireless power transfer,"This invention discloses device for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-06-29,2020
10000655,Apparatus for gene editing with CRISPR variants,"This invention discloses apparatus for gene editing with crispr variants. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-03-12,2018
10000656,Apparatus for secure multi-party computation,"This invention discloses apparatus for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-04-12,2018
10000657,Composition for edge computing resource scheduling,"This invention discloses composition for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-09-23,2021
10000658,Device for secure multi-party computation,"This invention discloses device for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-10-20,2020
10000659,Process for quantum error correction,"This invention discloses process for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-08-30,2018
10000660,Method for lidar point-cloud filtering,"This invention discloses method for lidar point-cloud filtering. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-05-04,2024
10000661,Device for wearable biosensor,"This invention discloses device for wearable biosensor. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-08-10,2023
10000662,Process for wireless power transfer,"This invention discloses process for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-03-07,2019
10000663,Apparatus for satellite collision avoidance,"This invention discloses apparatus for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-05-13,2019
10000664,Device for low-latency video coding,"This invention discloses device for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-11-19,2023
10000665,Method for edge computing resource scheduling,"This invention discloses method for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-04-27,2019
10000666,System and method for robotic grasp planning,"This invention discloses system and method for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-03-03,2022
10000667,Process for 5G beamforming optimization,"This invention discloses process for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-10-29,2023
10000668,Apparatus for low-latency video coding,"This invention discloses apparatus for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-11-18,2023
10000669,Method for edge computing resource scheduling,"This invention discloses method for edge computing resource scheduling. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-02-08,2020
10000670,Method for robotic grasp planning,"This invention discloses method for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-04-04,2023
10000671,System and method for battery thermal management,"This invention discloses system and method for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-02-29,2020
10000672,System and method for 5G beamforming optimization,"This invention discloses system and method for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-07-10,2022
10000673,Process for drug delivery via nanoparticles,"This invention discloses process for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-02-26,2019
10000674,Apparatus for satellite collision avoidance,"This invention discloses apparatus for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-08-02,2024
10000675,Composition for robotic grasp planning,"This invention discloses composition for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-04-24,2023
10000676,Method for robotic grasp planning,"This invention discloses method for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-08-24,2019
10000677,Method for neural network compression,"This invention discloses method for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-07-16,2019
10000678,Method for quantum error correction,"This invention discloses method for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-13,2024
10000679,System and method for satellite collision avoidance,"This invention discloses system and method for satellite collision avoidance. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-11-17,2018
10000680,Apparatus for solid-state battery electrolyte,"This invention discloses apparatus for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-04-14,2024
10000681,Composition for 5G beamforming optimization,"This invention discloses composition for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-12-31,2019
10000682,Device for carbon capture using metal-organic frameworks,"This invention discloses device for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-12-02,2024
10000683,Method for carbon capture using metal-organic frameworks,"This invention discloses method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-12-16,2022
10000684,System and method for OLED display fabrication,"This invention discloses system and method for oled display fabrication. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-08-22,2023
10000685,System and method for speech-to-text noise robustness,"This invention discloses system and method for speech-to-text noise robustness. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-06-20,2022
10000686,Device for robotic grasp planning,"This invention discloses device for robotic grasp planning. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-02-05,2023
10000687,Method for neural network compression,"This invention discloses method for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-02-22,2022
10000688,Method for solid-state battery electrolyte,"This invention discloses method for solid-state battery electrolyte. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2019-05-05,2019
10000689,System and method for carbon capture using metal-organic frameworks,"This invention discloses system and method for carbon capture using metal-organic frameworks. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2024-11-19,2024
10000690,Apparatus for secure multi-party computation,"This invention discloses apparatus for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2022-02-09,2022
10000691,Composition for neural network compression,"This invention discloses composition for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-09-24,2018
10000692,Device for neural network compression,"This invention discloses device for neural network compression. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-02-02,2021
10000693,Composition for battery thermal management,"This invention discloses composition for battery thermal management. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-06-28,2021
10000694,Method for secure multi-party computation,"This invention discloses method for secure multi-party computation. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-03-12,2023
10000695,Composition for wireless power transfer,"This invention discloses composition for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-01-31,2020
10000696,Apparatus for 5G beamforming optimization,"This invention discloses apparatus for 5g beamforming optimization. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-03-01,2023
10000697,Composition for drug delivery via nanoparticles,"This invention discloses composition for drug delivery via nanoparticles. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2021-06-25,2021
10000698,Device for quantum error correction,"This invention discloses device for quantum error correction. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2020-02-11,2020
10000699,System and method for wireless power transfer,"This invention discloses system and method for wireless power transfer. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2023-06-30,2023
10000700,Composition for low-latency video coding,"This invention discloses composition for low-latency video coding. The disclosed embodiments improve performance, efficiency, and reliability compared to prior art. Various aspects, configurations, and applications are described.",2018-05-31,2018
